28.0472	-15.4663	35016	Tafira
28.0474	-16.6599	38006	Cho
28.0496	-15.4368	35016	San Francisco de Paula
28.0499	-14.3524	35015	Morro del Jable
28.0499	-14.3359	35015	Solana Matorral
28.0500	-14.5000	35015	Puerto de la Cruz
28.0500	-17.2833	38003	La Rajita
28.0500	-17.1333		El Cabrito
28.0501	-16.7201	38006	Los Cristianos
28.0539	-16.7367	38006	El Guincho
28.0567	-15.6073	35013	Agua de Fontanales
28.0574	-14.3186	35015	Las Gaviotas
28.0598	-16.6338	38035	Aldea Blanca del Llano
28.0598	-16.5882	38017	Atogo
28.0606	-15.5491	35027	Teror
28.0620	-17.2407	38003	Alajeró
28.0640	-16.7301	38001	Playa de las Américas
28.0659	-15.5707	35032	Monagas
28.0667	-17.1500	38036	Seima
28.0667	-16.5833	38017	Las Zocas
28.0667	-15.4615	35016	Dragonal
28.0684	-16.6727	38006	Cabo Blanco
28.0685	-16.6551	38006	Buzanada
28.0697	-15.6166	35013	Barranco del Pilnar
28.0711	-15.4495	35016	Tafira Baja
28.0734	-14.3043	35015	Esquinzo
28.0745	-16.6956	38006	Chayofa
28.0762	-16.5580	38017	San Isidro
28.0767	-15.4767	35016	San Lorenzo
28.0777	-16.7297	38001	Costa Adeje
28.0810	-15.6715	35001	San Pedro
28.0811	-15.5379	35027	Huertas del Palmar
28.0813	-16.6161	38035	La Hoya
28.0818	-15.7065	35001	Guayedra
28.0819	-17.3334	38049	Vueltas
28.0822	-16.5590	38017	Castro
28.0823	-17.2200	38036	Lo del Gato
28.0845	-15.6199	35023	Montaña Alta
28.0850	-17.3339	38049	Valle Gran Rey
28.0854	-17.2688	38050	Erque
28.0868	-16.7348	38001	Playa de Fanabé
28.0879	-16.6586	38006	Valle de San Lorenzo
28.0903	-16.7332	38001	Fañabé
28.0905	-15.5837	35013	San Fernando
28.0908	-15.5626	35008	Huertecillas
28.0912	-17.1940	38036	Jerduñe
28.0916	-17.1133	38036	San Sebastián de la Gomera
28.0919	-17.2183	38036	Benchijigua
28.0921	-17.3368	38049	La Puntilla
28.0924	-16.6345	38035	El Roque
28.0969	-14.2859	35015	Jandía
28.0976	-17.3330	38049	La Calera
28.0983	-16.6171	38035	San Miguel De Abona
28.0983	-16.7516	38001	La Caleta
28.0989	-15.4722	35016	Tamaraceite
28.0991	-14.3897	35015	Cofete
28.0993	-17.2539	38050	Igualero
28.0994	-15.6533	35009	Pico de Viento
28.0996	-16.6810	38006	Arona
28.0998	-15.5530	35008	La Cruz de Firgas
28.1000	-16.6000	38017	Tamaide
28.1000	-17.1667	38036	Lomito Fragoso y Honduras
28.1001	-15.5118	35006	Santidad
28.1002	-15.7000	35001	Agaete
